53,Half Moon Lake to just off of Fayette Pole Creek Rd., Pole Creek Wyoming, US
54,Forest Service Road bridge near county line to Hwy 190, Powder, Middle Fork Wyoming, US
55,Hazelton Rd to Mayoworth Rd, Powder, North Fork Wyoming, US
56,Rock Creek Rock Creek Trail to Trailhead, Rock Creek Wyoming, US
57,Campground Section , Sand Creek South Dakota, US/Wyoming, US
58,Cabin Creek to Forest Service boundary, Shell Creek Wyoming, US
59,Pahaska Tepee to Buffalo Bill Reservoir, Shoshone, North Fork Wyoming, US
60,East Fork Creek to Trailhead, Shoshone, South Fork Wyoming, US
61,Buffalo Bill Dam to Hwy 120 bridge, Shoshone Wyoming, US
62,Heart River to Lewis River, Snake River Wyoming, US
63,1- Yellowstone Natl Park Entrance to Flagg Ranch, Snake Wyoming, US
64,2 - Jackson Lake to Moose (Teton National Park), Snake Wyoming, US
65,3 - Moose to Wilson Bridge, Snake Wyoming, US
66,4 - Wilson Bridge to South Park Bridge, Snake Wyoming, US
67,5 - South Park Bridge to Astoria Bridge, Snake Wyoming, US
68,6 - Astoria Bridge to West Table, Snake Wyoming, US
69,7 - West Table to Sheep Gulch (Alpine Canyon), Snake Wyoming, US
70,8 - Sheep Gulch to Palisades Reservoir, Snake Wyoming, US
71,FS 200 to Hwy 130, South Brush Creek Wyoming, US
72,Hwy 130 to French Creek Campground, South French Creek Wyoming, US
73,1- Granite Creek to Sec. 34, T29N, R97W, Sweetwater Wyoming, US
74,2- Rattle Snake Pass to Devils Gate, Sweetwater Wyoming, US
75,Highway 16 to Bottom of Switchbacks, Tensleep Creek Wyoming, US
76,Treasure Mtn.Camp/Treasure Lake to ID-33, Teton Creek Wyoming, US
77,1- Sheep Creek to Tongue Canyon trailhead, Tongue Wyoming, US
78,2- Tongue Canyon trailhead to Dayton, Tongue Wyoming, US
79,Wilderness boundary to Wiggins Fork, Wind, East Fork Wyoming, US
80,3 miles to 7 miles below Dubois (Fish Canyon), Wind Wyoming, US
81,Boysen Dam to canyon mouth (Wind River Canyon), Wind Wyoming, US
82,1) Yellowstone Falls to Tower Junction (Grand Canyon), Yellowstone Wyoming, US
83,2) Tower Junction to Gardiner, MT (Black Canyon), Yellowstone Wyoming, US
84,near Webster City (PnP, 0.5 mile access/egress), Boone Iowa, US
85,near Webster City (0.3 mile), Briggs Woods Spillway/Ditch 166 Iowa, US
86,Charles City Water Park, Cedar Iowa, US
87,Clay Hole, Cedar Falls (PnP), Cedar Iowa, US
88,Palisades-Kepler State Park (PnP), Cedar Iowa, US
89,Breens (PnP), Des Moines Iowa, US
90,D22 to mouth (up to 8 miles), Lizard Creek, S.Br. Iowa, US
91,Manchester Waterpark (**Proposed**), Maquoketa Iowa, US
92,North Dakota Avenue to Veenker Golf Course (2.6 miles), Onion Creek Iowa, US
93,A) Henderson Park, Jefferson, IA (PnP), Raccoon Iowa, US
94,B) Commerce Ledges (Walnut Woods SP), near Des Moines (PnP), Raccoon Iowa, US
95,Fort Dodge - park to mouth (1 mile), Soldiers Creek Iowa, US
96,Story City to Ames (PnP, 8 miles or 19 miles), South Skunk Iowa, US
97,Elkader Whitewater Park (PnP), Turkey River Iowa, US
98,Vernon Springs Park (rock-arch rapids), Turkey Iowa, US
99,Hwy 6 in Urbandale to Raccoon River (7 miles), Walnut Creek Iowa, US
100,Stickle Bridge (PnP), White Breast Creek Iowa, US
101,East Park (Mason City) to Wren Ave. (10 miles), Winnebago Iowa, US
102,Stoddard Road to Shepaug River, Bantam Connecticut, US
103,Pisgah Mtn. Rd. to Sandy Brook, Center Brook Connecticut, US
104,Paper Mill Road to Housatonic River, East Aspetuck Connecticut, US
105,Shelton to Housatonic River, Far Mill River Connecticut, US
106,Hogback Road (Goodwin Dam) to Riverton, Farmington, W.Br. Connecticut, US
107,Riverton to Satan's Kingdom parking area, Farmington, W.Br. Connecticut, US
108,Collinsville to Unionville, Farmington Connecticut, US
109,Tariffville (Route 189) to Highway 187 (Tariffville Gorge), Farmington Connecticut, US
110,Summer Hill Rd to Green Hill Rd, Hammonasset Connecticut, US
111,Bulls Bridge Dam to Power Plant, Housatonic Connecticut, US
112,Falls Village Hydro 13.2 mi to Swifts Bridge, 9.3 mi to Kent, Housatonic Connecticut, US
113,below Falls Village Hydro Plant, Housatonic Connecticut, US
114,Diana's Pool, England Road to Route 198, Natchaug Connecticut, US
115,Lower, Route 198 to Bassetts Bridge Road, Natchaug Connecticut, US
116,Upper, Route 44 to England Road, Natchaug Connecticut, US
117,1) Torrington, Naugatuck Connecticut, US
118,2) South Waterbury–Beacon Falls, Naugatuck Connecticut, US
119,Bridge in Cannondale to Mouth, Norwalk Connecticut, US
120,Below Route 6, Quinebaug Connecticut, US
121,Cold Brook Rd to Rt 17 in S Glastonbury, Roaring Brook Connecticut, US
122,Blackledge, Old route 2 to covered bridge at Hwy 16, Salmon Connecticut, US
123,Jeremy, Old route 2 to covered bridge at Hwy 16, Salmon Connecticut, US
124,Phelps Flat Rd. to Route 8 Bridge, Sandy Brook Connecticut, US
125,Valley Road (Shepaug Reservoir) to Route 47, Shepaug Connecticut, US
126,Above Sandy Brook, Still Connecticut, US
127,South Dover NY to Gaylordsville Ct, Tenmile Connecticut, US
128,Bridge St. to the Thread Mill, Willimantic River Connecticut, US
129,Eagleville Dam to Bridge Street, Willimantic River Connecticut, US
130,Colesville to Rte. 651, Clove Brook New Jersey, US
131,Lambertville Wing Dam, Delaware New Jersey, US
132,Scudders Falls Recreation Area, Delaware New Jersey, US
133,Devil's Tea Table, Devil's Tea Table New Jersey, US
134,Iron Mountain Road (NJ) to Rt 94(NY), Doublekill New Jersey, US
135,Upstream to Mountainside Rd., India Brook New Jersey, US
136,Chester to Pottersville, Lamington New Jersey, US
137,Rt 512 at Pottersville to confluence w/ No. Branch of Raritan, Lamington New Jersey, US
138,Just upstream of Idell to Raven Rock Rd., Lockatong Creek New Jersey, US
139,Bloomsbury to Delaware River, Musconetcong New Jersey, US
140,Stillwater (Main St.) to Delaware River, Paulins Kill New Jersey, US
141,Newfoundland (Rte 513) to Alt Rt 511, Pompton Lakes, Pequannock New Jersey, US
142,US Rt 46, Great Meadows to Delaware River, Pequest New Jersey, US
143,Trailhead parking on Glenwild Ave. to Wanaque Res. Property line, Posts Creek New Jersey, US
144,West of Mendham to North of Far Hills, Raritan, N. Branch New Jersey, US
145,1. Naughright Rd to Hoffman's Crossing Rd, Raritan, S. Branch New Jersey, US
146,2. Hoffman's Bridge to unnamed bridge at Readingsburg, Raritan, S. Branch New Jersey, US
147,3. Town of High Bridge to confluence with North Branch of the Raritan, Raritan, S. Branch New Jersey, US
148,Mountainville to McCrea Mills, Rockaway Creek New Jersey, US
149,Below Falls to weir at Morris Avenue, Rockaway New Jersey, US
150,Hikers Bridge to Monksville Reservoir, Wanaque New Jersey, US
151,Kingwood Station-Barbertown Rd to Rt. 29 , Warford Creek New Jersey, US
152,Upper Creek Rd in Delaware Twp to The Covered Bridge, Wickecheoke Creek New Jersey, US
153,Alamo Dam to US-95, Bill Williams Arizona, US
154,1) Diamond Rock 6.0 mi to Buffalo Xing, 12 mi to Wildcat Point, Black, E. Fork Arizona, US
155,2) Below Wildcat Point, Black, E. Fork Arizona, US
156,Blue Crossing to Forest Service Road 475, Blue Arizona, US
157,Woods Canyon Lake to Little Colorado River, Chevelon Creek Arizona, US
158,Box Canyon, Christopher Creek Arizona, US
159,18. Lees Ferry to Lake Mead , Colorado Arizona, US
160,19. Black Canyon, Colorado Arizona, US/Nevada, US
161,Forest Service Road 217: Four Drag Ranch to Double Circle Ranch, Eagle Creek Arizona, US
162,US Route 87 to Verde River confluence, East Verde Arizona, US
163,CDOG, Ellison Creek Arizona, US
164,Classic Section, Fossil Creek Arizona, US
165,1 - Virden (NM) 30 miles to US Route 666, 23 miiles to Bonita Creek, Gila Arizona, US
166,2 - Kelvin to Ashurst-Hayden Dam, Gila Arizona, US
167,Falls to Colorado River, Havasu Creek Arizona, US
168,0 - Dirt Road to Highway 4162, Little Colorado Arizona, US
169,1 - Below Grand Falls to above Black Falls, Little Colorado Arizona, US
170,2 - Cameron to Colorado River, Little Colorado Arizona, US
171,Pump Sta. above Sedona 27 mi. to Cornville, 8 mi. to Verde River, Oak Creek Arizona, US
172,Highway bridge to Lee's Ferry, Paria Arizona, US
173,The Jug, Salome Creek Arizona, US
174,1 - Fort Apache to US 60, Salt Arizona, US
175,1.5 - US 60 to Mescal Rapid, Salt Arizona, US
176,2 - US 60 to Hwy 288 above Roosevelt Reservoir, Salt Arizona, US
177,2.5 - Gleason Flats 19 mi. to Horseshoe Bend, Salt Arizona, US
178,5 - Stewart Mountain Dam to Granite Reef Dam, Salt Arizona, US
179,Alma (NM) 30 mi to Clifton, 10 mi to Gila River, San Francisco Arizona, US
180,Headwaters to Verde River Confluence, Sycamore Creek Arizona, US
181,Thunder River to Colorado River, Tapeats Creek Arizona, US
182,The Box (SH 260 to Roosevelt Lake), Tonto Creek Arizona, US
183,1) Perkinsville to Clarkdale, Verde Arizona, US
184,2) Clarkdale to Camp Verde, Verde Arizona, US
185,3) Camp Verde to Beasley Flat, Verde Arizona, US
186,4) Beasley Flat to Gap Creek, Verde Arizona, US
187,5) Childs to Horseshoe Reservoir, Verde Arizona, US
188,6) Horseshoe Reservoir to Bartlett Reservoir, Verde Arizona, US
189,7) Bartlett Reservoir to confluence with Salt River, Verde Arizona, US
190,4) Upper Gorge: I-15 at mile 23 to Cedar Pockets Rest Area, Virgin Arizona, US
191,5) Lower Gorge: I-15 at Cedar Pockets Rest Area to Littlefield, Virgin Arizona, US
192,FR 618 to Camp Verde Bridge, Wet Beaver Creek Arizona, US
193,Roadside Route Y55, White River, East Fork Arizona, US
194,Metcalf Road to Jamaica State Park, Ball Mountain Brook Vermont, US
195,Route 16 north of Glover to Lake Memphremagog, Barton Vermont, US
196,Manchester to NY border (Arlington), Battenkill Vermont, US
197,Mt. Tabor to Appalachian Trail, Big Branch Vermont, US
198,Brandon Gap, Bingo Brook Vermont, US
199,Whitesville to Perkinsville, Black Vermont, US
200,Westford to Lamoille River, Browns Vermont, US
201,Downtown, Castleton Vermont, US
202,Clarendon Springs to W. Rutland, Clarendon Vermont, US
203,Route 105/114 junction to Clyde Road, Clyde Vermont, US
204,Sumner Falls, Connecticut New Hampshire, US/Vermont, US
205,Somerset Reservoir to Searsburg Reservoir, Deerfield, E. Branch Vermont, US
206,Heartwellville to Readsboro Village, Deerfield, W. Branch Vermont, US
207,1) Searsburg Dam to Harriman Reservoir, Deerfield Vermont, US
208,2) Harriman Reservoir to Sherman Reservoir (Upper Dryway), Deerfield Vermont, US
209,Along Furnace Brook Rd. in Pittsford, Furnace Brook Vermont, US
210,VT 100C to covered bridge, Gihon Vermont, US
211,Green River Reservoir to Lamoille River, Green River (Lamoille Trib) Vermont, US
212,Green River to West Leyden, MA, Green Vermont, US
213,North Adams to North Pownal (VT), Hoosic Massachusetts, US/Vermont, US
214,Hanksville to Cochran Road, Huntington Vermont, US
215,W. Danville to covered bridge, Joe's Brook Vermont, US
216,Terrill Gorge, Kenfield River Vermont, US
217,Belvedere Junction to Waterville, Lamoille, North Branch Vermont, US
218,Craftsbury to Wolcott, Lamoille, Wild Branch Vermont, US
219,1. Johnson to Jeffersonville, Lamoille Vermont, US
220,2. Fairfax Falls to East Georgia, Lamoille Vermont, US
221,Milton Falls, Lamoille Vermont, US
222,Prindle Corner to Lake Champlain, Lewis Creek Vermont, US
223,Fosters to Recreation Path parking lot, Little, W. Branch Vermont, US
224,Waterbury Reservoir to Winooski River, Little Vermont, US
225,1st Hydro Dam to Winooski River, Mad Vermont, US
226,To Waitsfield, Mad Vermont, US
227,Ripton to E. Middlebury, Middlebury Vermont, US
228,Easy Street, Mill Brook (Danby) Vermont, US
229,Jericho, Mill Brook Vermont, US
230,E. Wallingford to Clarendon, Mill Vermont, US
231,Rt. 103-Rt. 7b, Mill Vermont, US
232,Kimball Rd to Rt 12, Minister Brook Vermont, US
233,East Richford to Lake Champlain, Missisquoi Vermont, US
234,Sheldon Spring Rapids, Missisquoi Vermont, US
235,1. Victory Bog to Concord, Moose Vermont, US
236,2. East St. Johnsbury to Passumpsic River, Moose Vermont, US
237,1. Lincoln to Ledges putin, New Haven Vermont, US
238,2. West Lincoln to Rte. 116 bridge, New Haven Vermont, US
239,3. Rocky Dale to below Bristol, New Haven Vermont, US
240,Baldwin Creek to Otter Creek, New Haven Vermont, US
241,E. Brighton Bridge to Connecticut River, Nulhegan Vermont, US
242,Strafford to Rices Mill, Ompompanoosuc, W. Branch Vermont, US
243,W. Fairlee to Thetford Covered Bridge, Ompompanoosuc Vermont, US
244,Just above Route 4 to 1 Mile below Route 4, Ottauquechee Vermont, US
245,Beldens Falls to Bleeders Dam, Otter Creek Vermont, US
246,E. Burke dam-Rt. 114 bridge, Passumpsic E Br Vermont, US
247,Rte. 140 Bridge, Poultney Vermont, US
248,Morse Hollow Rd to Deep Rock, Poultney Vermont, US
249,US Route 4 to Carvers Falls Dam, Poultney Vermont, US
250,Camel's Hump Rd. in N. Duxbury to Winooski R., Ridley Brook Vermont, US
251,Kelly Stand Road to East Kansas, Roaring Branch Vermont, US
252,Penner Road to Williamsville Covered Bridge, Rock Vermont, US
253,Williamsville Covered Bridge to West River, Rock Vermont, US
254,Grafton to Connecticut River, Saxton's Vermont, US
255,Stowe, Sterling Brook Vermont, US
256,Waits River Village to Route 25B, Waits Vermont, US
257,Appalachian Trail Crossing to Park Street in Bennington, Walloomsac Vermont, US
258,North Wardsboro to West River, Wardsboro Brook Vermont, US
259,Upper French Hill Rd to River Rd, Waterman Brook Vermont, US
260,Groton to Wells River Village, Wells Vermont, US
261,Old Bridge to Lower Dam, Wells Vermont, US
262,1. Londonderry rapids, West Vermont, US
263,2. Ball Mountain Dam to Jamaica State Park (Salmon Hole), West Vermont, US
264,3. Salmon Hole to Route l00, West Vermont, US
265,4. Townsend Dam to Rock River (Newfane), West Vermont, US
266,5. Rock River (Newfane) to the Connecticut River, West Vermont, US
267,Chelsea Health Center to above Sawmill Dam, White, First Branch Vermont, US
268,North Royalton to West Hartford, White Vermont, US
269,Rochester to Bethel, White Vermont, US
270,Northchester to Brockway Mills, Williams Vermont, US
271,Grahamville School Road to Winhall Campgrounds, Winhall Vermont, US
272,Along Rte. 12, North of Montpelier, Winooski, North Branch Vermont, US
273,Chase Mills, Winooski Vermont, US
274,Marshfield to Montpelier, Winooski Vermont, US
275,Middlesex to Waterbury, Winooski Vermont, US
276,Berry Falls (PnH), Berry Bridge Creek Nebraska, US
277,Nebraska 97 bridge to Whitetail Campground (56.5 miles; shorter possible), Dismal Nebraska, US
278,Cornell Bridge to near Norden Bridge (30.4 miles), Niobrara Nebraska, US
279,Snake Falls (0.5 mile or PnH), Snake Nebraska, US
280,Acquatic Garden Run, Anacostia District of Columbia, US
281,Rock Creek Park, Rock Creek District of Columbia, US
282,Sunol to Niles Junction near Fremont, Alameda Creek California, US
283,Last Chance Trail to confluence with Middle Fork, American, Middle Fork (N. Fork of) California, US
284,-1) Interbay Dam to Oxbow Reservoir, American, Middle Fork California, US
285,-2) French Meadows dam to Interbay , American, Middle Fork California, US
286,1) Tunnel Run: Oxbow Bend (Ralston Afterbay) to Drivers Flat Road, American, Middle Fork California, US
287,2) former Greenwood Bridge to Mammoth Bar , American, Middle Fork California, US
288,0.5 Royal Gorge: Soda Springs Road to Tadpole Creek, American, N. Fork California, US
289,1. Generation Gap: Tadpole Creek to Euchre Bar, American, N. Fork California, US
290,2. Giant Gap: Euchre Bar to Colfax-Iowa Hill Road, American, N. Fork California, US
291,3. Chamberlain Falls: Colfax-Iowa Hill Road to Yankee Jims Road, American, N. Fork California, US
292,4. Shirtail Run: Yankee Jims Road Bridge to Ponderosa Way Bridge, American, N. Fork California, US
293,5. Confluence with Middle Fork to Folsom Lake, American, N. Fork California, US
294,1. Strawberry to Kyburz, American, S. Fork California, US
295,2. Kyburz to Riverton (Route 50 bridge), American, S. Fork California, US
296,3. Riverton (Route 50 bridge) to Peavine Ridge Road, American, S. Fork California, US
297,4. Golden Gate (Peavine Ridge Road to Forebay Road), American, S. Fork California, US
298,5. Slab Creek Dam to White Rock Powerhouse, American, S. Fork California, US
299,6. Chili Bar (Route 193 to Coloma), American, S. Fork California, US
300,7. Coloma to Greenwood Creek, American, S. Fork California, US
301,8. The Gorge (Greenwood Creek to Folsom Reservoir), American, S. Fork California, US
302,China Flat to SF American confluence, American, Silver Fork California, US
303,Fitz Rantz Bridge to Girard Creek, American, Silver Fork California, US
304,Nimbus Dam to Howe Avenue, American California, US
305,San Juan Hole, American California, US
306,Hogsback Road to Cone Grove Road, Antelope Creek California, US
307,Above Applegate Reservoir, Applegate River, Middle Fork California, US/Oregon, US
308,Kincaid Road to Calaveras Reservoir, Arroyo Hondo California, US
309,Above Waterfalls to Mines Road bridge, Arroyo Mocho California, US
310,1) Willowcreek Bridge to Arroyo Seco Picnic Area , Arroyo Seco California, US
311,2) Arroyo Seco Picnic Area to Route G16 bridge, Arroyo Seco California, US
312,Mt. Hamilton to Del Valle Reservoir, Arroyo Valle California, US
313,Near Ponderosa Way to Manton Road (A6), Battle Creek, South Fork California, US
314,Manton Rd. (A6) to Coleman Fish Hatchery, Battle Creek California, US
315,Hydro to Hwy.44, Bear Creek (Sacramento R. Trib) California, US
316,Pacific Crest Trail to Bear Diversion Dam, Bear Creek California, US
317,near Wilbur Hot Springs to Cache Creek Conf., Bear Creek California, US
318,Drum Afterbay to Dutch Flat Afterbay , Bear California, US
319,Dutch Flat to Chicago Park, Bear California, US
320,Highway 174 Bridge to Lake Combie, Bear California, US
321,USFS Campground to State Highway 36, Beegum Creek California, US
322,1) Bridge on Forest Service Route 7 to Trimmer Springs Road, Big Creek (Kings River Trib) California, US
323,Indian Pool to Huntington Lake, Big Creek (San Joaquin trib.) California, US
324,Fish Camp to South Fork Merced, Big Creek California, US
325,The Middle Gorge Section, Big Creek California, US
326,Concow Rd to Confl.W.Fk.Feather, Big Kimshew Creek California, US
327,1) Near the Geysers to Iron Bridge, Big Sulphur Creek California, US
328,2) Iron Bridge to washed-out crossing, Big Sulphur Creek California, US
329,Pfeiffer Big Sur State Park to Motels, Big Sur California, US
330,Headwaters at The Basin to Middle Fork Eel, Black Butte California, US
331,above Whiskeytown Reservoir, Brandy Creek California, US
332,Rincon Camp to Kern River, Brush Creek California, US
333,1) Upper Butte Creek (Powerhouse to Centerville), Butte Creek California, US
334,2) PG&E Powerhouse to Covered Bridge, Butte Creek California, US
335,1) Hwy 20 to the Bear Creek Confluence, Cache Creek California, US
336,2) Bear Creek Confluence to Rumsey, Cache Creek California, US
337,Fleming Meadows trailhead to Happy Valley Road, Camp Creek California, US
338,Bridge 8.5 miles upstream of Junction City to Junction City, Canyon Creek (Trinity trib) California, US
339,1) French Lake to Bowman Lake, Canyon Creek California, US
340,2) Bowman lake to S. Yuba confluence, Canyon Creek California, US
341,Carmel Valley to Pacific Ocean, Carmel California, US
342,Los Padres Reservoir to Carmel Valley, Carmel California, US
343,1. Wolf Creek Road to Hangman's Bridge, Carson, E. Fork California, US
344,Hangman's Bridge to Hwy 395, Carson, E. Fork California, US/Nevada, US
345,Bourland Meadow to Cherry Lake, Cherry Creek, W. Fork California, US
346,Cherry Lake to Holm Powerhouse, Cherry Creek California, US
347,Upper, Cherry Creek California, US
348,Road 810 at Bailey Flats on E. Fork Chowchilla to Road 800, Chowchilla California, US
349,1) Upper Bridge to Lower Bridge, Clavey California, US
350,2) Lower Bridge to Ward's Ferry, Tuolumne River, Clavey California, US
351,Wilderness Bridge to Klamath River, Clear Creek (Klamath tributary) California, US
352,1) Clear Creek Campground to Trinity Mountain Road, Clear Creek (Sacramento trib.) California, US
353,2) Whiskeytown Reservoir to Sacramento Valley, Clear Creek (Sacramento trib.) California, US
354,Highway 41 at town of Coarsegold to Spinelli Rd. (Road 416), Coarsegold Creek California, US
355,Yosemite Springs Parkway to Rd. 400, Coarsegold Creek California, US
356,Coffee Creek Road to Trinity River, Coffee Creek California, US
357,FS Route 9N60 to Mt. Aukum Road, Cosumnes, Middle Fork California, US
358,Outingdale to Highway 49 (last 2 mi. on Main Cosumnes), Cosumnes, Middle Fork California, US
359,Highway 49 to Highway 16, Cosumnes California, US
360,1) Knob Gulch confluence to Platina Road, Cottonwood Creek, Middle Fork California, US
361,2) Platina Road to North Fork, Cottonwood Creek, Middle Fork California, US
362,1) Sunny Hill Road to Platina Road bridge near Ono, Cottonwood Creek, N. Fork California, US
363,2) Ono to Gas Point Road, Cottonwood Creek, N. Fork California, US
364,Pettyjohn Road to Highway 36, Cottonwood Creek, S. Fork California, US
365,Gilroy Hot Springs Road to Coyote Reservoir, Coyote Creek California, US
366,Crapo Creek (Salmon Tributary), Crapo Creek California, US
367,Highway 166 to Twitchell Reservoir, Cuyama California, US
368,Hwy 32 (Potato Patch Campground) to Route 99, Deer Creek California, US
369,1. Dinkey Dome to Dinkey Campgrounds, Dinkey Creek California, US
370,2. Dinkey Creek Campgrounds to logging spur road, Dinkey Creek California, US
371,3. Ross Creek Trail to confluence of NF Kings, Dinkey Creek California, US
372,4. Old mine trail to NF Kings confluence, Dinkey Creek California, US
373,to North Fork Kern, Dry Meadow Creek California, US
374,Black Butte River to Dos Rios, Eel, Middle Fork California, US
375,1) Salt Creek to Hulls Creek, Eel, N. Fork California, US
376,2) Hulls Creek to Mina Road, Eel, N. Fork California, US
377,1) Near Branscomb to Big Bend, Eel, S. Fork California, US
378,2) Big Bend to Piercy, Eel, S. Fork California, US
379,1) Horse Creek to Lake Pillsbury, Eel California, US
380,2) Lake Pillsbury to Van Arsdale Reservoir, Eel California, US
381,3) Van Arsdale Dam to Dos Rios, Eel California, US
382,4) Dos Rios to Alderpoint, Eel California, US
383,5) South Fork Eel to Rio Dell, Eel California, US
384,Lowrey Road to Paskenta Road, Elder Creek California, US
385,Warm Springs Camp to Castaic Lake, Elizabeth Lake Canyon Creek California, US
386,Elk Creek Road to Klamath River, Elk Creek California, US
387,San Elijo Canyon: Elfin Forest Preserve to Camino Del Norte Rd., Escondido Creek California, US
388,To confluence with Middle Fork, Feather, Middle Fork, South Branch California, US
389,1 - Sloat to Nelson Point, Feather, Middle Fork California, US
390,2) Devils Canyon: Nelson Point to Milsap Bridge , Feather, Middle Fork California, US
391,3) Bald Rock Canyon: Milsap Bar Bridge to Lake Oroville, Feather, Middle Fork California, US
392,Lake Almanor to Belden Forebay, Feather, N. Fork 0.5) California, US
393,Virgilia to Belden, Feather, N. Fork, E. Branch California, US
394,1) Caribou to East Branch Confluence, Feather, N. Fork California, US
395,2) Rock Creek Dam to Rock Creek Powerhouse, Feather, N. Fork California, US
396,3) Cresta Dam to Poe Dam, Feather, N. Fork California, US
397,4) Poe Dam to Poe Powerhouse, Feather, N. Fork California, US
398,5) Poe Powerhouse to Lake Oroville, Feather, N. Fork California, US
399,1. Little Grass Valley Reservoir to South Fork Diversion Dam, Feather, S. Fork California, US
400,2. South Fork Diversion to Golden Trout Crossing, Feather, S. Fork California, US
401,3. Golden Trout Crossing to Forbestown Diversion, Feather, S. Fork California, US
402,4. Forbestown Diversion to Ponderosa Reservoir, Feather, S. Fork California, US
403,1) Whiskey Flat to Dean Road, Feather, West Branch California, US
404,2) Dean Road to Lake Oroville, Feather, West Branch California, US
405,Fish Barrier Dam to Thermalito Return, Feather California, US
406,Thermolito to Highway 99, Feather California, US
407,Fordyce Lake to Lake Spaulding, Fordyce Creek California, US
408,1) Goldside Drive, off Highway 49, to Road 600, Fresno California, US
409,2) Road 600 to Road 415 , Fresno California, US
410,3) Road 415 to boat ramp near dam at Lake Hensley, Fresno California, US
411,Saddle Road to South Fork Smith confluence, Goose Creek California, US
412,Strawberry Mine to near Cassidy Trail, Granite Creek California, US
413,Grindstone Road to Road 306, Grindstone Creek California, US
414,1) Above Hwy 36 to Hwy 36, Hayfork Creek California, US
415,2) 3 mi. W. of Hayfork to Hyampom, Hayfork Creek California, US
416,3) Gemmil Gulch Picnic Ground to Carr Creek, Hayfork Creek California, US
417,Courtright reservoir to the NF Kings river, Helms Creek California, US
418,Hot Creek Ranch to Owens River Road, Hot Creek (Mammoth Creek) California, US
419,Bear Basin Road to Big Flat Road, Hurdygurdy Creek California, US
